corpus_id;sentence_position;word_position;value;postag_id;confidence_score;user_id
1;1;1;D';10;10;1
1;1;2;grìene;1;10;1
1;1;3;Lìnse;4;10;1
1;1;4;12;11;10;1
1;1;5;Stùnde;4;10;1
1;1;6;làng;1;10;1
1;1;7;inweiche;1;10;1
1;1;8;lon;4;10;1
1;1;9;.;15;10;1
1;2;1;'s;12;10;1
1;2;1;Gemìes;4;10;1
1;2;2;ìn;7;10;1
1;2;3;kleini;1;10;1
1;2;4;Vìereck;4;10;1
1;2;5;odder;9;10;1
1;2;6;Drejeck;4;10;1
1;2;7;schniide;6;10;1
1;2;8;.;15;10;1
1;3;1;Sie;12;10;1
1;3;1;ìm;7;10;1
1;3;2;Bùtter;4;10;1
1;3;3;schwìtze;6;10;1
1;3;4;lon;5;10;1
1;3;5;,;15;10;1
1;3;6;dànn;2;10;1
1;3;7;d';10;10;1
1;3;8;Lìnse;4;10;1
1;3;9;dezügenn;6;10;1
1;3;10;.;15;10;1
1;4;1;Ànderthàlb;4;10;1
1;4;1;sovìel;1;10;1
1;4;2;Wàsser;4;10;1
1;4;3;dezüschìtte;6;10;1
1;4;4;ùn;9;10;1
1;4;5;e;10;10;1
1;4;6;Stùnd;4;10;1
1;4;7;làng;1;10;1
1;4;8;kechle;6;10;1
1;4;9;lon;5;10;1
1;4;10;.;15;10;1
1;5;1;De;10;10;1
1;5;1;Làchs;5;10;1
1;5;2;rìschte;6;10;1
1;5;3;ùn;9;10;1
1;5;4;e;10;10;1
1;5;5;Träschel;4;10;1
1;5;6;geraicherter;1;10;1
1;5;7;Speck;4;10;1
1;5;8;ùm;7;10;1
1;5;9;jedes;10;10;1
1;5;10;Filee;4;10;1
1;5;11;rùmwìckle;6;10;1
1;5;12;.;15;10;1
1;6;1;De;10;10;1
1;6;1;Rahm;4;10;1
1;6;2;gùssàrtig;1;10;1
1;6;3;inkoche;1;10;1
1;6;4;lon;6;10;1
1;6;5;.;15;10;1
1;7;1;Mìt;7;10;1
1;7;1;Meerretti;4;10;1
1;7;2;,;15;10;1
1;7;3;Sàlz;4;10;1
1;7;4;ùn;9;10;1
1;7;5;Pfeffer;4;10;1
1;7;6;üss;7;10;1
1;7;7;de;5;10;1
1;7;8;Mìehl;5;10;1
1;7;9;ànmàche;6;10;1
1;7;10;.;15;10;1
1;8;1;D';10;10;1
1;8;1;gespìckte;1;10;1
1;8;2;Làchsfilee;4;10;1
1;8;3;3;11;10;1
1;8;4;Minüte;4;10;1
1;8;5;làng;1;10;1
1;8;6;ànbrote;6;10;1
1;8;7;.;15;10;1
1;9;1;Ùf;17;10;1
1;9;1;e;10;10;1
1;9;2;Grìeni-Lìnse;4;10;1
1;9;3;Bett;4;10;1
1;9;4;leje;6;10;1
1;9;5;ùn;9;10;1
1;9;6;d';10;10;1
1;9;7;Sauce;4;10;1
1;9;8;drùm;12;10;1
1;9;9;erùm;7;10;1
1;9;10;nàppìere;6;10;1
1;9;11;.;15;10;1
1;10;1;Mìteme;4;10;1
1;10;1;bìssele;6;10;1
1;10;2;Kerwelskrüt;4;10;1
1;10;3;,;15;10;1
1;10;4;Tomàte-Wìrfel;4;10;1
1;10;5;ùn;9;10;1
1;10;6;zwei;11;10;1
1;10;7;Gemìes-Strissle;4;10;1
1;10;8;denäwe;1;10;1
1;10;9;zìere;6;10;1
1;10;10;.;15;10;1
1;11;1;D';10;10;1
1;11;1;Spàrichle;4;10;1
1;11;2;schäle;6;10;1
1;11;3;ùn;9;10;1
1;11;4;d';10;10;1
1;11;5;grìene;1;10;1
1;11;6;Spìtze;4;10;1
1;11;7;sowie;9;10;1
