corpus_SCONJ;1;1;Ich;PRON;100;solution
corpus_SCONJ;1;2;hab;VERB;100;solution
corpus_SCONJ;1;3;eini;PRON;100;solution
corpus_SCONJ;1;4;im;ADP+DET;100;solution
corpus_SCONJ;1;5;Au;NOUN;100;solution
corpus_SCONJ;1;6;,;PUNCT;100;solution
corpus_SCONJ;1;7;wie;PRON;100;solution
corpus_SCONJ;1;8;sowohl;SCONJ;100;solution
corpus_SCONJ;1;9;vum;ADP+DET;100;solution
corpus_SCONJ;1;10;wisseschaftliche;ADJ;100;solution
corpus_SCONJ;1;11;,;PUNCT;100;solution
corpus_SCONJ;1;12;als;SCONJ;100;solution
corpus_SCONJ;1;13;au;ADV;100;solution
corpus_SCONJ;1;14;vum;ADP+DET;100;solution
corpus_SCONJ;1;15;praktische;ADJ;100;solution
corpus_SCONJ;1;16;unn;CONJ;100;solution
corpus_SCONJ;1;17;vum;ADP+DET;100;solution
corpus_SCONJ;1;18;menschliche;ADJ;100;solution
corpus_SCONJ;1;19;Standpunkt;NOUN;100;solution
corpus_SCONJ;1;20;üs;ADP;100;solution
corpus_SCONJ;1;21;mine-n-;DET;100;solution
corpus_SCONJ;1;22;Anforderunge;NOUN;100;solution
corpus_SCONJ;1;23;entschpricht;VERB;100;solution
corpus_SCONJ;1;24;.;PUNCT;100;solution
corpus_SCONJ;2;1;Eh;X;100;solution
corpus_SCONJ;2;2;bien;X;100;solution
corpus_SCONJ;2;3;,;PUNCT;100;solution
corpus_SCONJ;2;4;ich;PRON;100;solution
corpus_SCONJ;2;5;garantier;VERB;100;solution
corpus_SCONJ;2;6;Ejch;PRON;100;solution
corpus_SCONJ;2;7;,;PUNCT;100;solution
corpus_SCONJ;2;8;dass;SCONJ;100;solution
corpus_SCONJ;2;9;Ihr;PRON;100;solution
corpus_SCONJ;2;10;mine;DET;100;solution
corpus_SCONJ;2;11;Wille;NOUN;100;solution
corpus_SCONJ;2;12;reschpektiere;VERB;100;solution
corpus_SCONJ;2;13;wäre;AUX;100;solution
corpus_SCONJ;2;14;!;PUNCT;100;solution
corpus_SCONJ;3;1;Unn;CONJ;100;solution
corpus_SCONJ;3;2;wenn;SCONJ;100;solution
corpus_SCONJ;3;3;du;PRON;100;solution
corpus_SCONJ;3;4;bis;ADP;100;solution
corpus_SCONJ;3;5;an;ADP;100;solution
corpus_SCONJ;3;6;de;DET;100;solution
corpus_SCONJ;3;7;plafond;NOUN;100;solution
corpus_SCONJ;3;8;springsch;VERB;100;solution
